name,ring,quadrant,isNew,description
PostgreSQL,Adopt,Data Management,FALSE,Основная СУБД для production приложений. В отделе разработаны рекомендации по работе с СУБД в том числе для выполнения миграций без простоя приложения.
Spring Data JDBC,Adopt,Data Management,FALSE,Инструмент для взаимодействия с СУБД для обеспечения большей гибкости и/или отсутствии возможности сгенерировать meta model для JOOQ.
JOOQ,Adopt,Data Management,FALSE,"<a href=""https://www.jooq.org/"">jOOQ</a> - основной инструмент для взаимодействия с СУБД."
Flyway,Adopt,Data Management,FALSE,"<a href=""https://flywaydb.org/"">FlyWay</a> - инструмент для версионирования и миграций схем баз данных."
Sharding,Adopt,Data Management,FALSE,Подход использования нескольких инстансов СУБД и диспетчеризации запросов согласно принятой политике шардирования. Применяется для увеличения отказоустойчивости и более контролируемого роста размера инстанстов БД для наиболее критичных и высоконагруженных приложений.
Redis,Trial,Data Management,TRUE,"<a href=""https://redis.io/"">Распределенное key-value хранилище</a>, используемое для кэширования различных некритичных данных.<br/>Согласно принятой политике в случае отказа Redis использующее его приложение должно продолжить функционировать с приемлемым уровнем производительности."
Oracle DB,Hold,Data Management,FALSE,"<a href=""https://www.oracle.com/ru/database/technologies/"">Oracle Database</a> - промышленная СУБД от компании Oracle. С целью унификации инфраструктуры и сокращения расходов переходим к использованию PostgreSQL."
MySQL,Hold,Data Management,FALSE,"<a href=""https://www.mysql.com/"">MySQL</a> - открытая СУБД, поддержкой и развитием которой на текущий момент занимается компания Oracle. С целью унификации инфраструктуры и сокращения расходов переходим к использованию PostgreSQL."
S3,Adopt,Data Management,FALSE,???
Connection Pooling,Adopt,Data Management,FALSE,"Техника подключения к внешним ресурсам (например, к РСУБД) с использованием т.н. ""пулов подключений"". <br/> Для пулов возможно устанавливать ограничения по размеру открытых подключений, управляя возможной нагрузкой на инстансы СУБД. Также при применении пулов возможно переиспользование ранее открытых подключений, что позволяет избегать ресурсоемких операций открытия новых соединений."
